[ 2026-03-16 17:12:40,639 ] asyncio - DEBUG - Using proactor: IocpProactor
[ 2026-03-16 17:29:15,176 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[34:38]
[ 2026-03-16 17:29:15,176 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:15,176 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:15,176 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[39:54]
[ 2026-03-16 17:29:15,178 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[55:63]
[ 2026-03-16 17:29:15,178 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:15,178 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:15,178 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[64:83]
[ 2026-03-16 17:29:15,178 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[84:100]
[ 2026-03-16 17:29:15,178 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:15,178 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:15,180 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[101:120]
[ 2026-03-16 17:29:15,181 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[121:144]
[ 2026-03-16 17:29:15,181 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:15,182 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:15,182 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[145:161]
[ 2026-03-16 17:29:15,183 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[162:166]
[ 2026-03-16 17:29:15,183 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:15,183 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:15,183 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[167:177]
[ 2026-03-16 17:29:15,183 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[178:179]
[ 2026-03-16 17:29:15,186 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:15,186 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:15,186 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[180:192]
[ 2026-03-16 17:29:15,186 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[193:198]
[ 2026-03-16 17:29:15,186 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:15,186 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:15,186 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[199:211]
[ 2026-03-16 17:29:15,188 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[212:219]
[ 2026-03-16 17:29:15,188 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:15,188 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:15,188 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[220:232]
[ 2026-03-16 17:29:15,188 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[233:234]
[ 2026-03-16 17:29:15,188 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:15,188 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:15,188 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[235:249]
[ 2026-03-16 17:29:15,188 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[250:252]
[ 2026-03-16 17:29:15,191 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:15,191 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:15,191 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[253:257]
[ 2026-03-16 17:29:15,191 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[258:266]
[ 2026-03-16 17:29:15,191 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:15,191 ] python_multipart.multipart - DEBUG - Calling on_end with no data
[ 2026-03-16 17:29:15,191 ] root - INFO - Creating dictionary for career data
[ 2026-03-16 17:29:15,191 ] root - INFO - Career data dictionary created successfully and ready for model prediction
[ 2026-03-16 17:29:15,191 ] root - INFO - Initiating prediction process in CareerClassifier
[ 2026-03-16 17:29:15,196 ] root - ERROR - Error occurred in python script: [D:\Data Science\Project\src\pipline\prediction_pipeline.py] at line number [98]: Environment variable: AWS_ACCESS_KEY_ID is not not set.
[ 2026-03-16 17:29:19,448 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:19,448 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[0:22]
[ 2026-03-16 17:29:19,448 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[23:26]
[ 2026-03-16 17:29:19,448 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:19,448 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:19,448 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[27:33]
[ 2026-03-16 17:29:19,448 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[34:38]
[ 2026-03-16 17:29:19,453 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:19,453 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:19,453 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[39:54]
[ 2026-03-16 17:29:19,453 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[55:63]
[ 2026-03-16 17:29:19,453 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:19,453 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:19,453 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[64:83]
[ 2026-03-16 17:29:19,453 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[84:100]
[ 2026-03-16 17:29:19,458 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:19,459 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:19,459 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[101:120]
[ 2026-03-16 17:29:19,459 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[121:144]
[ 2026-03-16 17:29:19,461 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:19,462 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:19,463 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[145:161]
[ 2026-03-16 17:29:19,464 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[162:166]
[ 2026-03-16 17:29:19,464 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:19,464 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:19,464 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[167:177]
[ 2026-03-16 17:29:19,464 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[178:179]
[ 2026-03-16 17:29:19,464 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:19,464 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:19,464 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[180:192]
[ 2026-03-16 17:29:19,464 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[193:198]
[ 2026-03-16 17:29:19,469 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:19,469 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:19,471 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[199:211]
[ 2026-03-16 17:29:19,473 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[212:219]
[ 2026-03-16 17:29:19,473 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:19,473 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:19,473 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[220:232]
[ 2026-03-16 17:29:19,473 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[233:234]
[ 2026-03-16 17:29:19,473 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:19,473 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:19,473 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[235:249]
[ 2026-03-16 17:29:19,473 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[250:252]
[ 2026-03-16 17:29:19,478 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:19,478 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:19,478 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[253:257]
[ 2026-03-16 17:29:19,481 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[258:266]
[ 2026-03-16 17:29:19,481 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:19,481 ] python_multipart.multipart - DEBUG - Calling on_end with no data
[ 2026-03-16 17:29:19,481 ] root - INFO - Creating dictionary for career data
[ 2026-03-16 17:29:19,481 ] root - INFO - Career data dictionary created successfully and ready for model prediction
[ 2026-03-16 17:29:19,481 ] root - INFO - Initiating prediction process in CareerClassifier
[ 2026-03-16 17:29:19,481 ] root - ERROR - Error occurred in python script: [D:\Data Science\Project\src\pipline\prediction_pipeline.py] at line number [98]: Environment variable: AWS_ACCESS_KEY_ID is not not set.
[ 2026-03-16 17:29:33,778 ] asyncio - DEBUG - Using proactor: IocpProactor
[ 2026-03-16 17:29:55,659 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:55,659 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[0:22]
[ 2026-03-16 17:29:55,659 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[23:26]
[ 2026-03-16 17:29:55,667 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:55,669 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:55,673 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[27:33]
[ 2026-03-16 17:29:55,676 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[34:38]
[ 2026-03-16 17:29:55,676 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:55,678 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:55,678 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[39:54]
[ 2026-03-16 17:29:55,678 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[55:63]
[ 2026-03-16 17:29:55,678 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:55,684 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:55,686 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[64:83]
[ 2026-03-16 17:29:55,687 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[84:97]
[ 2026-03-16 17:29:55,687 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:55,687 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:55,687 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[98:117]
[ 2026-03-16 17:29:55,687 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[118:141]
[ 2026-03-16 17:29:55,687 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:55,694 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:55,694 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[142:158]
[ 2026-03-16 17:29:55,696 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[159:163]
[ 2026-03-16 17:29:55,696 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:55,696 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:55,696 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[164:174]
[ 2026-03-16 17:29:55,696 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[175:176]
[ 2026-03-16 17:29:55,702 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:55,702 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:55,702 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[177:189]
[ 2026-03-16 17:29:55,702 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[190:195]
[ 2026-03-16 17:29:55,702 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:55,702 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:55,702 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[196:208]
[ 2026-03-16 17:29:55,710 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[209:216]
[ 2026-03-16 17:29:55,710 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:55,710 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:55,710 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[217:229]
[ 2026-03-16 17:29:55,717 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[230:231]
[ 2026-03-16 17:29:55,718 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:55,720 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:55,720 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[232:246]
[ 2026-03-16 17:29:55,720 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[247:249]
[ 2026-03-16 17:29:55,720 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:55,720 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:55,720 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[250:254]
[ 2026-03-16 17:29:55,720 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[255:263]
[ 2026-03-16 17:29:55,720 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:55,720 ] python_multipart.multipart - DEBUG - Calling on_end with no data
[ 2026-03-16 17:29:55,720 ] root - INFO - Creating dictionary for career data
[ 2026-03-16 17:29:55,733 ] root - INFO - Career data dictionary created successfully and ready for model prediction
[ 2026-03-16 17:29:55,738 ] root - INFO - Initiating prediction process in CareerClassifier
[ 2026-03-16 17:29:55,744 ] botocore.hooks - DEBUG - Changing event name from creating-client-class.iot-data to creating-client-class.iot-data-plane
[ 2026-03-16 17:29:55,754 ] botocore.hooks - DEBUG - Changing event name from before-call.apigateway to before-call.api-gateway
[ 2026-03-16 17:29:55,754 ] botocore.hooks - DEBUG - Changing event name from request-created.machinelearning.Predict to request-created.machine-learning.Predict
[ 2026-03-16 17:29:55,754 ] botocore.hooks - DEBUG - Changing event name from before-parameter-build.autoscaling.CreateLaunchConfiguration to before-parameter-build.auto-scaling.CreateLaunchConfiguration
[ 2026-03-16 17:29:55,754 ] botocore.hooks - DEBUG - Changing event name from before-parameter-build.route53 to before-parameter-build.route-53
[ 2026-03-16 17:29:55,767 ] botocore.hooks - DEBUG - Changing event name from request-created.cloudsearchdomain.Search to request-created.cloudsearch-domain.Search
[ 2026-03-16 17:29:55,771 ] botocore.hooks - DEBUG - Changing event name from docs.*.autoscaling.CreateLaunchConfiguration.complete-section to docs.*.auto-scaling.CreateLaunchConfiguration.complete-section
[ 2026-03-16 17:29:55,777 ] botocore.hooks - DEBUG - Changing event name from before-parameter-build.logs.CreateExportTask to before-parameter-build.cloudwatch-logs.CreateExportTask
[ 2026-03-16 17:29:55,777 ] botocore.hooks - DEBUG - Changing event name from docs.*.logs.CreateExportTask.complete-section to docs.*.cloudwatch-logs.CreateExportTask.complete-section
[ 2026-03-16 17:29:55,777 ] botocore.hooks - DEBUG - Changing event name from before-parameter-build.cloudsearchdomain.Search to before-parameter-build.cloudsearch-domain.Search
[ 2026-03-16 17:29:55,784 ] botocore.hooks - DEBUG - Changing event name from docs.*.cloudsearchdomain.Search.complete-section to docs.*.cloudsearch-domain.Search.complete-section
[ 2026-03-16 17:29:56,016 ] botocore.loaders - DEBUG - Loading JSON file: D:\Data Science\Project\career\Lib\site-packages\boto3\data\s3\2006-03-01\resources-1.json
[ 2026-03-16 17:29:56,051 ] botocore.loaders - DEBUG - Loading JSON file: D:\Data Science\Project\career\Lib\site-packages\botocore\data\endpoints.json
[ 2026-03-16 17:29:56,266 ] botocore.loaders - DEBUG - Loading JSON file: D:\Data Science\Project\career\Lib\site-packages\botocore\data\sdk-default-configuration.json
[ 2026-03-16 17:29:56,266 ] botocore.hooks - DEBUG - Event choose-service-name: calling handler <function handle_service_name_alias at 0x000001E875B06340>
[ 2026-03-16 17:29:56,618 ] botocore.loaders - DEBUG - Loading JSON file: D:\Data Science\Project\career\Lib\site-packages\botocore\data\s3\2006-03-01\service-2.json.gz
[ 2026-03-16 17:29:56,678 ] botocore.loaders - DEBUG - Loading JSON file: D:\Data Science\Project\career\Lib\site-packages\botocore\data\s3\2006-03-01\service-2.sdk-extras.json
[ 2026-03-16 17:29:56,928 ] botocore.loaders - DEBUG - Loading JSON file: D:\Data Science\Project\career\Lib\site-packages\botocore\data\s3\2006-03-01\endpoint-rule-set-1.json.gz
[ 2026-03-16 17:29:56,982 ] botocore.loaders - DEBUG - Loading JSON file: D:\Data Science\Project\career\Lib\site-packages\botocore\data\partitions.json
[ 2026-03-16 17:29:56,982 ] botocore.hooks - DEBUG - Event creating-client-class.s3: calling handler <function add_generate_presigned_post at 0x000001E875AFBA60>
[ 2026-03-16 17:29:56,990 ] botocore.hooks - DEBUG - Event creating-client-class.s3: calling handler <function lazy_call.<locals>._handler at 0x000001E8093D0040>
[ 2026-03-16 17:29:56,994 ] botocore.hooks - DEBUG - Event creating-client-class.s3: calling handler <function add_generate_presigned_url at 0x000001E875AFB7E0>
[ 2026-03-16 17:29:56,994 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: environment_service
[ 2026-03-16 17:29:56,999 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: environment_global
[ 2026-03-16 17:29:57,000 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: config_service
[ 2026-03-16 17:29:57,000 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: config_global
[ 2026-03-16 17:29:57,002 ] botocore.configprovider - DEBUG - No configured endpoint found.
[ 2026-03-16 17:29:57,005 ] botocore.endpoint - DEBUG - Setting s3 timeout as (60, 60)
[ 2026-03-16 17:29:57,069 ] botocore.loaders - DEBUG - Loading JSON file: D:\Data Science\Project\career\Lib\site-packages\botocore\data\_retry.json
[ 2026-03-16 17:29:57,069 ] botocore.client - DEBUG - Registering retry handlers for service: s3
[ 2026-03-16 17:29:57,069 ] botocore.utils - DEBUG - Registering S3 region redirector handler
[ 2026-03-16 17:29:57,069 ] botocore.utils - DEBUG - Registering S3Express Identity Resolver
[ 2026-03-16 17:29:57,078 ] boto3.resources.factory - DEBUG - Loading s3:s3
[ 2026-03-16 17:29:57,083 ] botocore.hooks - DEBUG - Event choose-service-name: calling handler <function handle_service_name_alias at 0x000001E875B06340>
[ 2026-03-16 17:29:57,092 ] botocore.hooks - DEBUG - Event creating-client-class.s3: calling handler <function add_generate_presigned_post at 0x000001E875AFBA60>
[ 2026-03-16 17:29:57,094 ] botocore.hooks - DEBUG - Event creating-client-class.s3: calling handler <function lazy_call.<locals>._handler at 0x000001E8093D0040>
[ 2026-03-16 17:29:57,094 ] botocore.hooks - DEBUG - Event creating-client-class.s3: calling handler <function add_generate_presigned_url at 0x000001E875AFB7E0>
[ 2026-03-16 17:29:57,096 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: environment_service
[ 2026-03-16 17:29:57,096 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: environment_global
[ 2026-03-16 17:29:57,096 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: config_service
[ 2026-03-16 17:29:57,096 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: config_global
[ 2026-03-16 17:29:57,099 ] botocore.configprovider - DEBUG - No configured endpoint found.
[ 2026-03-16 17:29:57,102 ] botocore.endpoint - DEBUG - Setting s3 timeout as (60, 60)
[ 2026-03-16 17:29:57,108 ] botocore.client - DEBUG - Registering retry handlers for service: s3
[ 2026-03-16 17:29:57,110 ] botocore.utils - DEBUG - Registering S3 region redirector handler
[ 2026-03-16 17:29:57,112 ] botocore.utils - DEBUG - Registering S3Express Identity Resolver
